,ctr,addr,cvr,auv,ctr_c,addr_c,cvr_c,ctr7,addr7,cvr7,auv7,new_cate_1_id_meanencode,new_cate_2_id_meanencode,new_cate_3_id_meanencode,new_cate_4_id_meanencode,ismiss_rate,color_meanencode,style_meanencode,label_addbag_uv
2895981,0.008386777301035039,0.3972680159080374,0.07096602211367538,0.005327695558908676,0.021024434426286955,0.1730057509301553,0.018400365518394503,0.008401791260162068,0.5988363747574245,0.10461211245709413,0.007784237445150768,4.901534118557873,5.581303200265481,7.424013114783468,3.6384580879369124,0.1343,5.203222165768934,4.988685827459218,0.0
2681595,0.022756244806543098,0.13659474505004246,0.030179801050559292,0.004196162042778398,0.015378374258530128,0.16676469571199815,0.03234490800512912,0.020647679415881446,0.10503463806885258,0.019439527634772764,0.0040169928848933735,3.148164747216457,2.397461530653908,1.698037588053629,3.0404234432351274,0.0207,3.6168293712194894,3.14627410789752,0.0
1678410,0.020809969803350054,0.1425567284961318,0.018726931783808142,0.0033354959963114287,0.015755479708747352,0.20791727798674703,0.018300051243096277,0.018883322789187848,0.1252544442955564,0.018358889801041174,0.0029519711891754265,4.901534118557873,5.581303200265481,7.424013114783468,3.6384580879369124,0.0452,3.5385940188875815,5.416697232998448,3.0
767598,0.005057890617736163,0.6007483380913801,0.09998159824365459,0.004547086483063241,0.018821373513679535,0.1614242030908631,0.02125545317162254,0.005242579610336252,0.550490300931037,0.1114746057812615,0.005335622963624415,3.148164747216457,2.9185947551987717,5.544765696160405,3.0404234432351274,0.0,3.819113418692429,3.14627410789752,0.0
254830,0.005794356258385998,0.47361112741252076,0.08086893636461308,0.004069211268122892,0.01780296967325897,0.18655296855135894,0.017321784676455634,0.00494270754786838,0.6000036837982448,0.15543411274604751,0.00568507711012105,4.901534118557873,5.581303200265481,7.424013114783468,7.631017278171357,0.1622,5.203222165768934,7.7598286777560865,0.0
2519215,0.029458468779550998,0.09511431367621617,0.011637856492238427,0.002899856311460657,0.023025137560939483,0.1660134421182544,0.02764460795371062,0.021472855375165904,0.09931424505276909,0.018425360873617187,0.0034179018972482255,4.901534118557873,5.581303200265481,0.2613418210969086,3.0404234432351274,0.0205,3.258666027849024,2.390923888499081,0.0
2957050,0.02532428949476515,0.12687739699791983,0.014510873118215405,0.0032327925811324646,0.01917457962215074,0.16719667880824812,0.022015541094907137,0.024282717981636292,0.12552828335081745,0.020416114969570194,0.004370584431626891,4.901534118557873,1.9713332647305422,1.4705699272077164,3.0404234432351274,0.0,5.203222165768934,3.14627410789752,0.0
2002478,0.021999216151534575,0.10988812842489754,0.012423223670280427,0.0023518272755323117,0.017577961711516706,0.14433505992019713,0.01907430298282131,0.024689375398059744,0.09705939391600467,0.014068100207474482,0.003045805467298418,4.901534118557873,5.581303200265481,2.7601839500375758,3.0404234432351274,0.0433,5.710454917787653,3.9619997898840342,0.0
915793,0.007214945792574858,0.49569900209366075,0.08443640235698714,0.005459315700696292,0.018252618483116413,0.18821149953586386,0.032275197072791174,0.006358459182092815,0.5517778602772797,0.11001385177807571,0.0063408441948069865,4.901534118557873,3.8751600856130297,5.137213114954128,3.0404234432351274,0.3333,5.203222165768934,5.416697232998448,2.0
2411030,0.02292341499771771,0.11619576481423191,0.026668184877051727,0.0068721511821298875,0.019124485172319742,0.14223359371032415,0.026175201685888865,0.024861289177242778,0.0907649354772757,0.018164796441207054,0.0043269246176318695,4.901534118557873,2.959696280640841,2.894706558737463,3.0404234432351274,0.028,4.677955084314887,3.14627410789752,0.0
